Country,2014,2015,2016,2017
Albania,25.3,18.8,18.8,18.8
Algeria,29.7,30.6,30.6,30.6
Angola,9,9,9,9
"Antigua and Barbuda",9.5,10.3,10.7,10.7
Argentina,29.4,29.3,29.3,29.3
Armenia,23,,,
Australia,20.3,20.9,21.1,21.1
Austria,34.7,34.3,34.3,34.2
Azerbaijan,24.8,24.8,24.8,24.8
Bahamas,6.1,6.3,6.3,6.3
Bahrain,13.5,13.5,13.5,13.5
Barbados,12.7,12.2,12.2,12.2
Belarus,39,39,39,39
Belgium,50.8,49.5,49.4,48.9
Belize,7,5,5,5
Benin,27.3,26.4,26.4,26.4
Bolivia,18.8,18.8,18.8,18.8
"Bosnia and Herzegovina",12.6,13.5,13.5,13.5
Brunei,8.5,7.9,7.9,7.9
Bulgaria,20.2,20.2,20.2,20.2
"Burkina Faso",22.6,21.4,21.4,21.4
Burundi,10.2,10.2,10.2,10.2
"Cape Verde",18.5,17.6,17.6,17.6
Cambodia,0.1,0.5,0.5,0.5
Cameroon,18.3,18.3,18.3,18.3
Canada,12.7,12.5,12.7,12.8
"Central African Republic",19.8,19.8,19.8,19.8
Chad,28.4,28.4,28.4,28.4
Chile,3.8,4,4,4
Colombia,28.8,30.1,18.6,18.6
"Congo (Kinshasa)",7.9,12.8,12.6,12.6
"Congo (Brazzaville)",32.5,31.3,31.3,31.3
"Costa Rica",29.5,32.2,32.2,32.7
"Ivory Coast",20.1,23.3,23.3,23.3
Croatia,19.4,17.1,18.8,19.4
Cyprus,11.8,11.9,13.4,13.4
"Czech Republic",38.4,38.4,38.4,38.4
Denmark,3.6,3,3,3.2
Djibouti,17.7,17.7,17.7,17.7
Dominica,7.9,7.9,7.9,7.9
"Dominican Republic",18.6,18.6,18.6,18.6
Ecuador,13.7,13.7,13.7,13.7
Egypt,25.8,23.9,24.1,24.4
"El Salvador",17.2,17.2,17.2,17.2
"Equatorial Guinea",25.4,25.4,25.4,25.4
Estonia,39.4,39,39,38.8
Ethiopia,2,4.8,5.6,12.4
Fiji,10.2,10.4,10.4,12.7
Finland,24.4,24.2,24.8,25.1
France,51.7,54,53.5,53.5
Gabon,22.7,22.7,22.7,22.7
Gambia,12.8,12.7,12.7,12.7
Germany,21.9,21.2,21.2,21.3
Ghana,14.7,14.7,14.7,14.7
Greece,32.2,31,29.3,27.7
Grenada,5.6,5.6,5.6,5.6
Guatemala,14.3,14.3,14.3,14.3
Guinea,9.6,26.4,26.4,26.4
"Guinea Bissau",24.8,24.8,24.8,24.8
Guyana,8.8,9.2,9.2,9.2
Haiti,12.4,12.4,12.4,12.4
Honduras,5.1,3.2,3.2,3.3
"Hong Kong",5.3,5.1,5.2,5.3
Hungary,34.5,34.3,34.3,34.3
Iceland,18.8,17.8,17.7,18.3
Iran,25.9,25.9,25.9,25.9
Iraq,13.5,13.5,13.5,13.5
Ireland,11.6,12.1,12.1,12.2
Israel,5.3,5.5,5.6,5.8
Italy,43.4,43.4,43.4,43.4
Jamaica,12.9,13.3,13.4,13.4
Jordan,12.9,13.8,14.4,14.9
Kazakhstan,11.2,11.2,11.2,11.2
Kenya,6.8,1.9,1.9,1.9
Kiribati,8.5,8.5,8.4,8.4
"South Korea",13.2,13.6,13.8,13.6
Kosovo,5.6,5.6,5.6,5.6
Kuwait,10.7,12.8,13,13
Kyrgyzstan,19.5,19.5,19.5,19.5
Laos,5.6,5.6,5.6,6.8
Latvia,27.3,27.2,26.6,26.6
Lebanon,24.1,23.8,23.8,23.8
Liberia,5.4,5.4,5.4,5.4
Libya,,10.5,10.5,10.3
Lithuania,35.1,35.2,35.2,35.2
Luxembourg,15.4,15.6,15.5,15.7
Madagascar,20.3,20.3,20.3,20.3
Malawi,7.7,12.4,12.4,12.4
Malaysia,15.6,16.4,16.4,16.4
Maldives,7.9,7.9,7.9,7.9
Mali,34.3,34.3,34.3,34.3
Malta,11.3,10.7,10.7,10.9
"Marshall Islands",11.8,11.8,11.8,11.8
Mauritania,17.6,23.2,23.2,23.2
Mauritius,9.6,6.5,7.1,7.7
Micronesia,6.8,8.5,8.5,8.5
Moldova,30.6,30.2,30.8,31.1
Mongolia,12.4,12.4,12.4,12.4
Montenegro,12.8,12.8,12.8,13.3
Morocco,22.7,22.2,22.3,22.6
Mozambique,4.5,4.5,4.5,4.5
"Burma (Myanmar)",,,0.2,0.3
Namibia,1,1,1,1.9
Nepal,11.3,11.3,11.3,11.3
Netherlands,18.1,17.6,20.2,19.4
"New Zealand",3.7,3,2.7,2.5
Nicaragua,20.3,20.3,21.4,22.6
Niger,20.1,21.1,21.7,21.7
Norway,15.9,15.9,15.9,15.9
Oman,11.8,11.8,11.8,13.1
Palau,9.3,9.5,9.5,9.5
Panama,19.8,20,20,20
"Papua New Guinea",11.7,11.7,11.7,11.7
Paraguay,18.6,18.6,18.6,18.6
Peru,11,11,11,11
Philippines,11.3,8,8.7,8.7
Poland,23.8,24.7,24.8,24.9
Portugal,26.8,26.8,26.8,26.8
"Puerto Rico",14.4,13.5,13.5,13.5
Qatar,11.3,11.3,11.3,11.3
Romania,31.5,31.5,30,25.8
Rwanda,5.6,5.6,5.6,5.6
"Saint Thomas and Principe",6.8,6.8,6.8,6.8
Samoa,7,6.8,6.8,7.3
"San Marino",,29.4,30,30
"Saudi Arabia",12.4,12.4,12.8,13.5
Senegal,24.1,23.6,23.6,23.6
Serbia,20.2,20.2,20.2,20.2
Seychelles,1.7,1.7,2.3,2.3
"Sierra Leone",11.3,11.3,11.3,11.3
Singapore,17,15.3,15.3,16.2
Slovakia,39.6,39.7,39.7,39.7
Slovenia,18.2,18.2,18.2,18.2
"Solomon Islands",8.5,8.5,8.5,8.5
Somalia,,,NA,NA
"South Africa",4.1,4,4,4
"South Sudan",,19.2,19.2,19.2
Spain,36.8,35.7,35.9,35.9
"Sri Lanka",16.9,16.9,16.9,16.9
"Saint Kitts and Nevis",11.3,11.2,11.2,11.2
"Saint Lucia",5.6,5.6,5.6,5.6
"Saint Vincent and Grenadines",5.1,5.1,5.1,6.2
Sudan,19.2,19.2,19.2,19.2
Swaziland,4,4.7,5,5.5
Sweden,35.5,35.4,35.4,35.4
Switzerland,17.7,17.7,17.7,17.7
Syria,19.3,19.3,19.3,19.3
Taiwan,18.6,18.1,18.4,18.4
Tajikistan,28.5,28.5,28.5,28.5
Tanzania,18,17.5,16.9,17.5
Thailand,5.7,4.3,5.4,5.4
Togo,26.5,25.4,23.1,23.1
Tonga,,5.6,5.6,5.6
"Trinidad and Tobago",5.8,8.2,8.5,8.5
Tunisia,25.2,25.2,25.2,25.3
Turkey,18.8,19.2,19.9,19.9
Uganda,11.3,11.3,11.3,11.3
Ukraine,43.1,43.1,43.1,43.1
"United Arab Emirates",14.1,14.1,14.1,14.1
"United Kingdom",10.2,11.3,11.2,10.9
Uruguay,15.6,15.6,15.6,15.6
Uzbekistan,28.2,28.2,28.2,24.9
Vanuatu,4.5,4.5,4.5,4.5
Venezuela,18,18,18,18
Vietnam,22.6,23.7,24.8,24.8
Yemen,11.3,11.3,11.3,11.3
Zambia,10.4,10.4,10.4,10.4
Zimbabwe,5.1,5.3,5.6,5.6
