Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,78,58,76,94,71,95,91,84,92,96,95,96,99,98,97,95
Angola,94,84,74,64,68,7,65,80,36,82,28,28,55,44,48,6
Azerbaijan,,,,,,70,94,95,96,90,79,89,89.5,90,87,58
Bangladesh,79,85,89,81,87,83,82,89,94,97,91,92,93,94,97,
Benin,100,95,90,85,95,89,92,87,73,52,56,99,98,99,99,99
Bhutan,87,78.8,70.6,62.4,54.2,46,45.5,45,48,47,46,45,44,43,45,
Bolivia,85,27,40,35,36,42,39,41,43,45,45,24,21,41,40,
Botswana,,,,,,31,23,15,42.3333,69.6667,97,81,75,73,71,70
Brazil,20,,,,,,,,,,,,,,,
"Burkina Faso",99,10,62,91,66,99,99,99,73,97,99,99,87,99,99,98
Burundi,92,76.8,61.6,46.4,31.2,16,7,76,83,80,90,73,72,86,75,69
Cambodia,79,30,57,34,47,72,65,78,76,88,98,95,92,98,90,71
Cameroon,100,68,36,4,7,15,96,92,48,71,94,89,98,88,99,96
"Central African Republic",100,1,3,21.25,39.5,57.75,76,8,78,68,87,85.6667,84.3333,83,40,34
Chad,92,87,88,85,82,79,93,58,50,55.5,61,68.5,76,83.5,91,96
Comoros,,,,,,7,10.25,13.5,16.75,20,40,18,17,16,15,14
"Congo (Kinshasa)",78,45,12,62,72,70,87,91,79,85,89,83,98,84,98,99
"Congo (Brazzaville)",74,60.4,46.8,33.2,19.6,6,8,79,43.5,8,8,84,87.75,91.5,95.25,99
"Costa Rica",,,,,,60,,,,,,,,,,
"Ivory Coast",,,,,,,88,78,4,90,88,99,99,99,99,99
Djibouti,,,,,9,11,13,15,94,86,94,95,95,88,66,
"Dominican Republic",53,44,35,31,40,,,,,,,,,,,
Ecuador,42,46,50,50,,,,,,,,,,,,
Egypt,,94,92,92.5,93,94,90,93,87,68,,,,,,
"El Salvador",,,,,,,,,20,32.2,44.4,56.6,68.8,81,,
Eritrea,94,66.5,39,34,38,42,46,50,46,45,42,39,39,38,36,49
Ethiopia,86,70,54,38,22,40,58,80,86,88,84,84,71,31,79,71
Gabon,,,,,,,,,,,,1,1.5,2,,
Gambia,,,,,,,17,59,82,28,63.5,99,93,46,36.5,27
Ghana,91,89,99,99,99,50,96,26,77,24,90,93,94,17,96,23
Guatemala,,,,,,18,36,49,29,20,43,36,28,14,13,19
Guinea,100,87.5,75,94,88,99,99,93,94,94,97,97,88,99,,
"Guinea Bissau",77,70.4,63.8,57.2,50.6,44,60.5,77,86,92,93,99,99,95,97,98
Haiti,,,,,,,42,33,30,27,24,21,36,54,13,30
Honduras,53,20,42,35.5,29,40,40,,,,,,,,,
India,15,9,23,27,34,35,49,25,33,53,66,34,58,59,54,61
Indonesia,64,68,57,61,62,73,76,82,87,86,84,80,76,73,82,84
Iraq,,,,,,,,0.84,,,,,,,,
Kenya,80,41,42.25,43.5,44.75,46,69,52,15,27,51,62,37,66,19,28
Kiribati,80,54,51,48,45,52.5,60,54,,,,,,,,
"North Korea",100,96,99,99,99,99,98,99,99,98,99,99,99,99,98,99
Kyrgyzstan,,,,,,,98,98,99,99,98,97,,,,
Laos,80,75,70,58,64,55,70,55,69,78.5,88,80,92,47,87,89
Lesotho,,,,,,,2,9,38,31,24,17,38,52,66,67
Liberia,93,83,99,8,6,4,79,3,85,88.5,92,97,96,13,88,
"Macedonia (F.Y.R.O.M.)",,,,,95,,,,,,,,,,,
Madagascar,94,38,55,69.5,84,87,97,96,99,97,95,95,91,88,94,99
Malawi,,21,17,15.5,14,13,86,89,90,95,95,96,96,60,90,41
Maldives,,,,,,,,32,50,48.5,47,54.25,61.5,68.75,76,
Mali,100,10,31.3333,52.6667,74,78,59,88,89,97,99,99,96,93,98,
"Marshall Islands",67,49.5,32,27.5,23,24,6,41,39,,,,,,,
Mauritania,83,84.8,86.6,88.4,90.2,92,60,96,89,87,89,97,99,99,99,89
Micronesia,74,51,44,66,88,80.5,73,68,,,,,,,,
Mongolia,87,61,65,84,83,93,92,99,77,79,81,83,85,90,95,79
Mozambique,100,75,50,25,22,13,16,33,42,83,97,99,99,20,99,99
"Burma (Myanmar)",42,66,86,92,87,96,96,95,93,94,95,94,96,86,93,94
Namibia,83,70.8333,58.6667,46.5,34.3333,22.1667,10,12,12.25,12.5,12.75,13,23,20,62,
Nepal,85,73,96,83,96,95,96,97,95,93,95,91,91,95,99,85
Nicaragua,63,51.4,39.8,28.2,16.6,5,3.6667,2.3333,1,3.5,6,7,2,7,5.5,4
Niger,100,92,88,77,68,81,94,88,99,92,95,98,95,98,96,95
Nigeria,23,43.5,64,31,53.5,76,40,61,55,66.5,78,91,73,78,70,80
Oman,,,,97,96,95,95.1111,95.2222,95.3333,95.4444,95.5556,95.6667,95.7778,95.8889,96,
Pakistan,88,95,99,99,99,99,99,99,99,97,91,87,90,99,97.5,96
Panama,,,,,,,4,,,,,,,,,
"Papua New Guinea",,,,,1,1,1,7,7,9.5,12,14,12,15,,
Peru,5,5.5,6,6,,,,,,,,,,,,
Philippines,78,69,76,76,75,85,85,86,83,86,91,91,91,90,89,83
Rwanda,93,71.5,50,28.5,7,75,87,87,91,92.5,94,94,73,3,49,95
"Saint Thomas and Principe",,,,,,76,28,56,48,19,35,35,36,34,56,
Senegal,87,93,85,85.25,85.5,85.75,86,96,94,90,97,95.4,93.8,92.2,90.6,89
"Sierra Leone",81,76.5,72,77,84,93,99,93,86,12,99,99,99,99,99,8
Somalia,63,62.5,62,70,56,48,40,32,4,99,99,55.5,12,18,24,30
"South Africa",,,,,,,29,27,33,39,40.6667,42.3333,44,43,42,
"South Sudan",,,,,,,7,40,65,53,41,50.6667,60.3333,70,44,18
"Sri Lanka",,,31,14,14,14,14,53,63.75,74.5,85.25,96,86,91,89,72
Sudan,79,77.7143,76.4286,75.1429,73.8571,72.5714,71.2857,70,98,88,99,95,89,83,91,99
Swaziland,,,,,,,40,18,26,39,30,36,34,33,31,43
Syria,,,,,,,,,,,,33,,,,
Tajikistan,,,,,,93,90,88,85,73,74,87,88,90,82,99
Tanzania,21,11,81,89,91,93,95,94,93,93,94,99,97,95,92,88
"Timor Leste",,,,26,33,36,35,28,50,47.5,45,48,59,42,40,
Togo,100,53.5,7,18,53,94,92,15,64,64,99,99,22,64,61,
Uganda,79,63,47,31,43,55,78,71,69,67,64,46,60,70,65,66
Uzbekistan,,,,,93,85,94,93,95,42,65,94,95,99,99,99
Vietnam,55,99,99,99,99,99,99,99,98,98,99,95,99,98,96,94
Yemen,100,84,68,52,36,20,4,55,11,11,11,12,9,11,87,7
Zambia,75,54,75,63,55,60.5,66,71,95,96,91,92,72,82.5,93,
Zimbabwe,,,,,19,20,81,67,83,80,77,49,47,61,34,32
