year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,71.80030557677605,100.0,36.588,0.6553401709401712,27585,3.79,3.5820786054863643,37.7,100.0,68.44639024
1961,72.37647058823518,100.0,36.479,0.6600362393162396,28419,3.908,3.829983122,35.7,100.0,68.73773171
1962,72.9526355996943,100.0,35.983000000000004,0.664732307692308,28453,4.026,1.358677671,33.8,100.0,68.99812195
1963,73.52880061115343,100.0,35.295,0.6694283760683764,29142,4.144,3.43910854,32.0,100.0,69.22307317
1964,74.10496562261255,100.0,37.573,0.6741244444444447,31049,4.262,7.865828819,30.3,100.0,69.41104878
1965,74.68113063407168,100.0,36.921,0.6788205128205131,31291,4.38,3.6105644022932672,28.8,100.0,69.56102439
1966,75.2572956455308,100.0,34.926,0.6835165811965815,31432,4.51,1.105904112,27.4,100.0,69.67446341
1967,75.83346065698993,100.0,33.959,0.6882126495726499,31401,4.64,0.216730812,26.1,100.0,69.76134146
1968,76.40962566844905,100.0,36.506,0.6929087179487183,32633,4.77,4.183872427,24.8,100.0,69.83514634
1969,76.98579067990818,100.0,39.044000000000004,0.6976047863247867,35660,4.9,9.972857943,23.6,100.0,69.90485366
1970,77.56195569136753,100.0,40.451,0.7023008547008551,36089,5.03,4.507040707,22.3,100.0,69.98346341
1971,78.13812070282665,100.0,38.542,0.7069969230769235,36703,5.12,2.667235889,21.1,100.0,70.08143902
1972,78.71428571428578,100.0,39.061,0.7116929914529919,38649,5.21,6.598193038,19.9,100.0,70.20531707
1973,79.2904507257449,100.0,40.669000000000004,0.7163890598290603,41402,5.3,8.312676859,18.8,100.0,70.35817073
1974,79.86661573720403,100.0,41.004,0.7210851282051287,42590,5.39,4.212467577,17.7,100.0,70.54256098
1975,80.44278074866315,100.0,33.42,0.7257811965811971,39357,5.48,3.667535995907075,16.7,100.0,70.75760976
1976,81.01894576012228,100.0,33.178000000000004,0.7304772649572655,40151,5.482,2.5343319419999997,15.8,100.0,70.9985122
1977,81.5951107715814,100.0,30.421,0.7351733333333339,40702,5.484,1.569776234,15.1,100.0,71.25629268
1978,82.17127578304053,100.0,32.791,0.7398694017094023,42289,5.486000000000001,4.07497187,14.4,100.0,71.52246341
1979,82.74744079449965,100.0,33.38,0.7445654700854707,43169,5.4879999999999995,2.345608822,13.9,100.0,71.79446341
1980,83.32360580595878,100.0,30.272,0.7492615384615391,43368,5.49,0.840882426,13.4,100.0,72.07260976
1981,83.8997708174179,100.0,25.824,0.7539576068376075,43689,5.486000000000001,3.7017189520753586,12.9,100.0,72.35768293
1982,84.47593582887703,100.0,24.24,0.7586536752136759,43462,5.482,1.131296529,12.5,100.0,72.65346341
1983,75.0,100.0,22.666,0.7633497435897443,44737,5.478,2.989077105,12.0,100.0,72.95887805
1984,68.0,100.0,24.385,0.7680458119658127,47458,5.474,6.186938986,11.6,100.0,73.27192683
1985,77.0,100.0,24.967,0.7727418803418811,48723,5.47,2.7917064639999998,11.1,100.0,73.5857561
1986,86.0,100.0,24.412,0.7774379487179495,52232,5.472,9.983934531000001,10.7,100.0,73.89460976
1987,95.0,100.0,23.337,0.7821340170940179,53069,5.474,3.950977975,10.2,100.0,74.1937561
1988,90.0,100.0,23.843000000000004,0.7868300854700863,57967,5.476,8.463283138,9.7,100.0,74.48034146
1989,90.0,100.0,25.549,0.7915261538461547,63339,5.478,9.798061646,9.2,100.0,74.75241463
1990,90.0,100,30.933000000000003,0.782,63801,5.48,5.319932182,8.7,100,75.01041463
1991,91.0,100,32.173,0.7892,68394,5.478,8.644190076000001,8.2,100,75.46341463
1992,93.0,100,31.145,0.7964,68719,5.476,1.819652855,7.7,100,75.77073171
1993,94.0,100,31.073,0.8036,70651,5.474,4.200648193999999,7.2,100,75.71219512
1994,95.0,100,28.625999999999998,0.8108,72359,5.472,3.820921124,6.7,100,76.37073171
1995,97.0,100,22.345,0.818,72371,5.47,1.432200278,6.3,100,76.51219512
1996,98.0,100,22.15,0.8252,72384,5.466,1.3884283519999998,5.9,100,76.5195122
1997,98.0,100,20.287,0.8324,75564,5.462000000000001,5.709717091,5.5,100,76.8804878
1998,98.0,100,17.941,0.8396,79141,5.457999999999999,6.044651468,5.2,100,77.01707317
1999,98.0,100,18.759,0.8468,84701,5.454,8.481002825,4.9,100,77.77073171
2000,99.0,100,19.881,0.8540000000000001,90456,5.45,8.239799112,4.7,100,77.87317073
2001,99.0,100,20.831999999999997,0.858,91649,5.462000000000001,2.531974923,4.4,100,77.82439024
2002,99.0,100,22.401,0.862,94158,5.474,3.819469797,4.2,100,77.96585366
2003,98.0,100,23.272,0.866,94536,5.486000000000001,1.62928705,4.0,100,77.72682927
2004,99.0,100,26.095,0.87,96568,5.497999999999999,3.6121767069999997,3.8,100,79.12195122
2005,99.0,100,26.296999999999997,0.8740000000000001,98119,5.51,3.172442733,3.6,100,79.43170732
2006,99.0,100,25.518,0.878,101567,5.526,5.178485966,3.5,100,79.28780488
2007,99.0,100,23.781999999999996,0.882,108366,5.542000000000001,8.354553209,3.3,100,79.38292683
2008,99.0,100,23.005,0.8859999999999999,105084,5.558,3.8555422548326383,3.2,100,80.53902439
2009,99.0,100,21.399,0.89,98660,5.574,3.861239414194019,3.1,100,80.63658537
2010,99.0,100,22.013,0.894,101588,5.59,4.86496856,3.0,100,80.63170732
2011,99.0,100,21.329,0.892,101878,5.596,2.539234839,3.0,100,80.98780488
2012,99.0,100,20.324,0.892,99110,5.602,3.8783308922781607,2.9,100,81.39268293
2013,99.0,100,18.854,0.892,100385,5.608,3.990191653,2.9,100,81.8
2014,99.0,100,17.616,0.8959999999999999,102259,5.614,5.626930814,2.9,100,82.22926829
2015,99.0,100,16.427,0.898,103785,5.62,4.004256886,2.9,100.0,82.29268293
2016,99.0,100.0,16.467,0.9183199999999996,103764,5.622000000000001,4.180493009,2.9,100.0,82.68536585
2017,104.6417112299464,100.0,17.194323308270782,0.923016068376068,103093,5.624,3.9068166890850655,2.8,100.0,82.09512195
2018,105.21787624140552,100.0,16.821332641949766,0.9277121367521364,103457,5.626,3.912513848446446,2.8,100.0,82.29512195
2019,105.79404125286464,100.0,16.448341975628864,0.9324082051282048,103783,5.627999999999999,3.9182110078078267,2.8,100.0,82.72675662582708
2020,106.37020626432377,100.0,16.075351309307848,0.9371042735042732,113619.86892655399,5.63,3.9239081671692073,-3.865706214689453,100.0,82.98459630170487
